Region,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time (seconds),Event count
Illinois,123,88,646,0.5122918319,5.25203252,1140.243902,51908
Iowa,72,61,46,0.4554455446,0.6388888889,204.9583333,1057
(not set),51,48,5,0.09433962264,0.09803921569,9.764705882,202
Minnesota,51,34,139,0.5720164609,2.725490196,228.1176471,2338
New York,41,27,39,0.5735294118,0.9512195122,144.5853659,921
Virginia,38,27,26,0.5652173913,0.6842105263,44.34210526,243
North Carolina,36,18,16,0.3333333333,0.4444444444,38.27777778,219
Texas,32,19,21,0.525,0.65625,57.875,221
Michigan,30,16,39,0.619047619,1.3,318.2,2567
New Jersey,21,19,17,0.6296296296,0.8095238095,67.85714286,231
County Dublin,20,5,5,0.25,0.25,8.05,37
California,18,14,23,0.5476190476,1.277777778,244.9444444,1786
Nebraska,12,12,7,0.5,0.5833333333,36.16666667,115
Maryland,10,6,7,0.4666666667,0.7,72.9,266
Pennsylvania,10,8,6,0.5454545455,0.6,35.6,110
Alabama,8,8,6,0.5,0.75,370.125,140
Georgia,8,6,5,0.5,0.625,255.625,98
Norrbotten County,8,4,2,0.25,0.25,4.25,18
Ontario,8,7,6,0.6666666667,0.75,58.125,71
Washington,8,4,4,0.3636363636,0.5,147.125,88
Florida,7,4,8,0.4444444444,1.142857143,339.8571429,1857
Ohio,7,4,4,0.2857142857,0.5714285714,33.71428571,64
Oregon,5,1,0,0,0,5.6,7
Arizona,4,5,4,0.8,1,78.25,79
Cairo Governorate,4,4,5,0.7142857143,1.25,82.75,61
Indiana,4,3,3,0.75,0.75,13,25
Louisiana,4,4,3,0.75,0.75,23.5,25
Colorado,3,3,1,0.25,0.3333333333,5.333333333,13
Connecticut,3,1,6,0.375,2,100.6666667,74
England,3,3,5,0.8333333333,1.666666667,168.6666667,35
Kansas,3,2,0,0,0,4,9
Massachusetts,3,3,0,0,0,0,9
New Hampshire,3,3,1,0.3333333333,0.3333333333,3.333333333,11
Tennessee,3,2,1,0.3333333333,0.3333333333,12.66666667,17
Ho Chi Minh City,2,2,1,0.5,0.5,29,10
Nevada,2,1,7,0.7777777778,3.5,465.5,1077
Oklahoma,2,2,2,1,1,32,25
Oslo,2,2,2,1,1,89.5,10
Quebec,2,2,3,1,1.5,29.5,21
South Carolina,2,2,2,1,1,30.5,16
Utah,2,2,1,0.5,0.5,14,13
Wisconsin,2,0,1,0.1666666667,0.5,125.5,49
Abu Dhabi,1,1,0,0,0,0,3
Delaware,1,1,1,1,1,51,11
District of Columbia,1,0,1,0.5,1,30,9
Hawaii,1,1,0,0,0,0,3
Idaho,1,1,0,0,0,8,4
Jeollabuk-do,1,1,0,0,0,0,3
Mississippi,1,1,0,0,0,0,3
North Dakota,1,1,0,0,0,0,3
Punjab,1,1,0,0,0,0,3
Saxony-Anhalt,1,1,1,1,1,25,8
Tokyo,1,1,0,0,0,0,3
West Virginia,1,0,0,0,0,2,1
Wyoming,1,1,0,0,0,0,3
Kentucky,0,1,0,0,0,0,3